shipment_id,rx_id,shipped_date,delivered_date,carrier,delay_flag,return_flag
1,36,2024-08-17,2024-08-18,UPS,1,0
2,726,2024-02-23,2024-02-25,UPS,0,0
3,816,2024-03-17,2024-03-20,UPS,0,0
4,1096,2024-04-30,2024-05-03,FedEx,0,0
5,306,2024-04-19,2024-04-21,UPS,0,0
6,145,2024-01-26,2024-01-27,UPS,0,0
7,119,2024-08-16,2024-08-18,FedEx,1,0
8,158,2024-01-17,2024-01-20,FedEx,0,1
9,414,2024-07-11,2024-07-15,FedEx,0,0
10,70,2024-01-27,2024-01-31,UPS,1,0
11,984,2024-01-31,2024-02-02,FedEx,0,0
12,372,2024-03-19,2024-03-20,UPS,0,0
13,321,2024-09-04,2024-09-04,UPS,0,0
14,1024,2024-03-31,2024-03-31,FedEx,0,0
15,1103,2024-11-11,2024-11-14,FedEx,0,0
16,544,2024-01-08,2024-01-12,FedEx,0,0
17,855,2024-03-28,2024-03-30,FedEx,0,0
18,735,2024-12-06,2024-12-09,FedEx,1,0
19,38,2024-05-03,2024-05-03,UPS,0,0
20,100,2024-07-28,2024-07-29,UPS,0,0
21,398,2024-03-04,2024-03-05,UPS,0,0
22,486,2024-06-02,2024-06-03,FedEx,0,0
23,72,2024-06-10,2024-06-11,UPS,1,0
24,471,2024-04-20,2024-04-24,FedEx,0,0
25,824,2024-05-21,2024-05-23,FedEx,0,0
26,259,2024-01-16,2024-01-18,UPS,1,0
27,1189,2024-06-04,2024-06-06,UPS,0,0
28,822,2024-08-27,2024-08-28,FedEx,1,0
29,56,2024-10-03,2024-10-04,UPS,0,0
30,600,2024-06-05,2024-06-06,FedEx,0,0
31,37,2024-11-28,2024-11-30,UPS,0,0
32,785,2024-09-27,2024-09-29,UPS,0,0
33,880,2024-07-30,2024-08-01,UPS,0,0
34,964,2024-08-30,2024-09-03,UPS,0,0
35,1016,2024-11-28,2024-12-02,UPS,0,0
36,525,2024-02-24,2024-02-27,FedEx,0,0
37,258,2024-01-31,2024-02-01,UPS,0,0
38,697,2024-08-27,2024-08-30,UPS,1,1
39,445,2024-11-27,2024-11-30,UPS,0,0
40,327,2024-01-22,2024-01-24,FedEx,0,0
41,656,2024-11-27,2024-11-29,FedEx,1,0
42,283,2024-08-09,2024-08-10,FedEx,0,0
43,936,2024-10-07,2024-10-08,FedEx,0,0
44,513,2024-02-16,2024-02-18,FedEx,1,0
45,838,2024-08-13,2024-08-17,UPS,0,0
46,266,2024-01-22,2024-01-23,UPS,0,0
47,1011,2024-05-21,2024-05-22,UPS,0,0
48,603,2024-06-06,2024-06-09,FedEx,0,1
49,1067,2024-12-14,2024-12-17,FedEx,0,0
50,464,2024-10-06,2024-10-06,UPS,0,0
51,619,2024-06-21,2024-06-24,FedEx,0,0
52,399,2024-11-25,2024-11-26,FedEx,1,0
53,709,2024-09-26,2024-09-29,FedEx,1,0
54,564,2024-05-29,2024-05-29,UPS,0,0
55,339,2024-11-19,2024-11-22,UPS,0,0
56,227,2024-05-08,2024-05-11,FedEx,0,0
57,1185,2024-06-24,2024-06-26,FedEx,1,0
58,133,2024-10-18,2024-10-20,FedEx,0,0
59,763,2024-03-30,2024-04-01,FedEx,1,1
60,1138,2024-04-14,2024-04-15,UPS,0,0
61,199,2024-06-24,2024-06-27,FedEx,1,1
62,1041,2024-07-11,2024-07-13,UPS,1,0
63,530,2024-10-16,2024-10-20,UPS,0,0
64,77,2024-03-24,2024-03-28,UPS,0,0
65,201,2024-01-26,2024-01-29,FedEx,0,0
66,1003,2024-10-13,2024-10-17,UPS,0,0
67,649,2024-08-21,2024-08-23,UPS,0,0
68,6,2024-04-15,2024-04-17,FedEx,0,0
69,953,2024-08-03,2024-08-06,FedEx,1,0
70,1100,2024-10-31,2024-11-03,FedEx,0,0
71,546,2024-05-18,2024-05-18,UPS,0,0
72,315,2024-09-10,2024-09-12,FedEx,0,0
73,968,2024-05-14,2024-05-16,UPS,1,0
74,1097,2024-05-03,2024-05-05,UPS,0,0
75,978,2024-06-07,2024-06-09,FedEx,0,1
76,914,2024-02-20,2024-02-23,UPS,0,0
77,319,2024-09-27,2024-09-28,UPS,1,0
78,412,2024-11-07,2024-11-08,UPS,1,0
79,678,2024-02-29,2024-03-04,UPS,0,0
80,300,2024-01-18,2024-01-20,FedEx,0,0
81,422,2024-11-12,2024-11-13,UPS,0,0
82,532,2024-12-04,2024-12-04,FedEx,0,0
83,235,2024-06-01,2024-06-04,UPS,0,1
84,581,2024-11-01,2024-11-01,UPS,0,0
85,1015,2024-08-15,2024-08-17,FedEx,0,0
86,612,2024-10-21,2024-10-22,UPS,0,0
87,180,2024-08-19,2024-08-23,UPS,1,0
88,381,2024-02-17,2024-02-18,UPS,1,0
89,502,2024-05-06,2024-05-10,UPS,0,0
90,572,2024-01-19,2024-01-19,UPS,1,0
91,665,2024-05-10,2024-05-13,UPS,0,0
92,997,2024-05-05,2024-05-08,FedEx,1,0
93,768,2024-05-20,2024-05-22,FedEx,0,0
94,405,2024-07-06,2024-07-08,FedEx,0,1
95,666,2024-09-23,2024-09-27,UPS,0,0
96,758,2024-09-08,2024-09-11,UPS,1,0
97,222,2024-01-16,2024-01-20,UPS,0,0
98,87,2024-08-17,2024-08-19,FedEx,0,0
99,1061,2024-01-17,2024-01-20,UPS,0,0
100,589,2024-07-24,2024-07-27,FedEx,1,1
101,990,2024-02-18,2024-02-20,UPS,0,0
102,260,2024-05-13,2024-05-15,UPS,0,0
103,497,2024-01-09,2024-01-11,UPS,0,0
104,806,2024-04-18,2024-04-22,FedEx,0,0
105,164,2024-03-03,2024-03-04,UPS,1,0
106,308,2024-09-17,2024-09-19,FedEx,0,0
107,203,2024-08-06,2024-08-09,UPS,0,0
108,123,2024-05-28,2024-05-29,UPS,0,1
109,46,2024-09-20,2024-09-21,FedEx,0,0
110,26,2024-06-27,2024-07-01,UPS,1,0
111,851,2024-02-18,2024-02-20,UPS,0,0
112,1077,2024-03-04,2024-03-06,UPS,1,0
113,729,2024-11-01,2024-11-02,UPS,0,0
114,550,2024-03-22,2024-03-23,FedEx,0,0
115,841,2024-06-16,2024-06-18,FedEx,0,0
116,40,2024-11-29,2024-11-30,UPS,0,0
117,1065,2024-08-17,2024-08-18,UPS,0,0
118,732,2024-06-18,2024-06-20,FedEx,0,0
119,575,2024-06-21,2024-06-24,UPS,0,0
120,774,2024-01-29,2024-02-01,FedEx,1,0
121,264,2024-01-16,2024-01-18,UPS,1,0
122,271,2024-05-30,2024-06-03,FedEx,0,0
123,212,2024-02-28,2024-03-01,FedEx,0,0
124,562,2024-07-04,2024-07-05,FedEx,1,0
125,974,2024-08-17,2024-08-19,FedEx,0,0
126,1113,2024-05-12,2024-05-14,UPS,0,0
127,1146,2024-04-14,2024-04-18,UPS,0,0
128,576,2024-03-26,2024-03-29,FedEx,0,0
129,342,2024-08-28,2024-08-29,FedEx,0,0
130,644,2024-01-07,2024-01-10,FedEx,0,0
131,270,2024-05-11,2024-05-13,FedEx,0,0
132,472,2024-05-26,2024-05-27,UPS,1,0
133,335,2024-11-03,2024-11-03,FedEx,0,0
134,317,2024-09-04,2024-09-07,FedEx,0,0
135,136,2024-10-25,2024-10-27,FedEx,0,0
136,691,2024-09-17,2024-09-17,FedEx,0,0
137,586,2024-04-12,2024-04-12,FedEx,0,0
138,1127,2024-02-26,2024-02-27,FedEx,0,0
139,343,2024-04-03,2024-04-05,FedEx,0,0
140,1110,2024-07-20,2024-07-24,UPS,0,0
141,996,2024-07-19,2024-07-22,FedEx,0,0
142,811,2024-08-30,2024-09-02,FedEx,0,0
143,721,2024-04-13,2024-04-13,FedEx,0,1
144,183,2024-08-28,2024-08-29,UPS,0,0
145,223,2024-08-20,2024-08-24,UPS,0,0
146,634,2024-08-22,2024-08-23,UPS,0,0
147,708,2024-03-09,2024-03-11,FedEx,1,1
148,931,2024-09-27,2024-09-29,FedEx,0,0
149,1071,2024-02-03,2024-02-06,FedEx,0,0
150,371,2024-11-12,2024-11-15,UPS,1,0
151,1046,2024-02-03,2024-02-06,FedEx,0,0
152,715,2024-06-06,2024-06-07,UPS,0,0
153,476,2024-10-10,2024-10-13,UPS,0,0
154,895,2024-02-28,2024-03-02,UPS,1,0
155,296,2024-08-09,2024-08-11,UPS,0,0
156,16,2024-06-23,2024-06-23,UPS,0,0
157,352,2024-09-30,2024-10-02,FedEx,0,0
158,387,2024-12-11,2024-12-14,FedEx,0,0
159,907,2024-01-30,2024-01-31,UPS,0,0
160,888,2024-03-16,2024-03-17,FedEx,0,0
161,1130,2024-11-11,2024-11-14,FedEx,0,0
162,153,2024-06-22,2024-06-25,UPS,0,0
163,1012,2024-10-01,2024-10-02,UPS,0,0
164,463,2024-07-10,2024-07-10,FedEx,1,0
165,859,2024-08-14,2024-08-15,FedEx,0,0
166,221,2024-09-10,2024-09-13,FedEx,0,0
167,557,2024-02-17,2024-02-18,FedEx,0,0
168,1172,2024-11-29,2024-12-01,UPS,1,0
169,1166,2024-07-10,2024-07-11,FedEx,0,0
170,1160,2024-08-17,2024-08-18,UPS,1,0
171,345,2024-08-27,2024-08-30,UPS,1,0
172,958,2024-05-13,2024-05-16,FedEx,0,0
173,1199,2024-05-13,2024-05-15,FedEx,0,0
174,282,2024-04-06,2024-04-08,FedEx,0,0
175,1123,2024-05-01,2024-05-03,UPS,1,0
176,408,2024-09-14,2024-09-16,UPS,0,0
177,626,2024-08-09,2024-08-10,UPS,1,0
178,368,2024-09-23,2024-09-24,UPS,0,0
179,48,2024-05-30,2024-06-02,FedEx,0,0
180,651,2024-03-04,2024-03-05,UPS,0,0
181,549,2024-04-30,2024-04-30,UPS,0,0
182,604,2024-06-16,2024-06-19,FedEx,1,0
183,797,2024-09-26,2024-09-29,UPS,0,0
184,906,2024-08-08,2024-08-10,UPS,0,0
185,354,2024-11-11,2024-11-14,FedEx,0,0
186,574,2024-05-19,2024-05-21,UPS,0,0
187,302,2024-01-26,2024-01-30,UPS,1,0
188,804,2024-02-15,2024-02-16,UPS,0,0
189,131,2024-02-12,2024-02-13,UPS,0,0
190,1125,2024-04-29,2024-05-01,FedEx,0,0
191,1154,2024-02-15,2024-02-17,UPS,1,0
192,1021,2024-03-19,2024-03-23,FedEx,1,0
193,51,2024-04-17,2024-04-20,UPS,0,0
194,817,2024-09-26,2024-09-28,FedEx,0,0
195,1179,2024-01-26,2024-01-28,FedEx,0,0
196,24,2024-12-04,2024-12-07,FedEx,1,0
197,933,2024-06-26,2024-06-27,UPS,0,0
198,1035,2024-09-06,2024-09-07,UPS,0,0
199,1129,2024-02-12,2024-02-14,UPS,0,0
200,116,2024-08-03,2024-08-07,FedEx,0,0
201,349,2024-03-19,2024-03-20,UPS,0,0
202,396,2024-07-30,2024-07-31,UPS,0,1
203,33,2024-05-08,2024-05-10,UPS,0,0
